nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,last_modified,datagouv_resource_id
COPRODEX,410514319,coprodex@coprodex.com,COPRODEX,coprodex@coprodex.com,038729007,COPRODEX,Non concerné,01F8SKQEQ9WHH6FRV6VTNW2ES9,Coprodex,Parking privé réservé à la clientèle,Zi de l'Europort 57500 SAINT-AVOLD,57606,"[49.140776,6.688881]",1,Non concerné,01F8SKVQ1Y4CC0C0VBSSD4W2P0,22,true,true,false,false,false,true,false,false,false,null,Accès libre,false,"Mo-Fr 08:00-12:00,Mo Fr 14:00-17:00",Accessible mais non réservé PMR,Non concerné,false,Indirect,BT010911,2021-06-10,Recharge uniquement disponible pendant les horaires d'ouvertures,2021-06-21,2021-06-22T13:36:32.155000,e5942621-061d-4764-a5ac-332695feda84
AEV ATELIER ELECTRIQUE VOIRONNAIS,404675878,contact@aevelec.fr,FRESHMILE,exploitation@freshmile.com,03 68 78 14 35,SATORIZ GRENOBLE ROCADE,FRA68P680210017,8d9d963e-d33a-11eb-b8bc-0242ac130003,BORNE 1 SATORIZ GRENOBLE ROCADE,Parking privé à usage public,"9 RUE DU BEAL, 38400, ST MARTIN D'HERES, FRANCE",38421,"[5.76,45.16]",2,FRA68P680210016,12cd9afc-d33b-11eb-b8bc-0242ac130003,11,true,true,false,false,false,false,true,true,false,0.20,Accès libre,false,24/7,Accessible mais non réservé PMR,hauteur maximal 2m,false,Indirect,19302604816408,2021-05-27,null,2021-06-22,2021-06-22T12:14:10.643000,e8f06858-f37f-49c0-b183-acbd239f9e99
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232309604,null,GUERET,Parking public,Plan d'Eau Courtille,23096,"[46.166190,1.852937]",2,FRS23230960402,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 272 358 856 468 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232324701,null,SAINT VAURY,Voirie,IMPASSE DE L ANCIENNE GENDARMERIE,23247,"[46.204309,1.7562378]",2,FRS23232470101,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 273 516 598 808 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232319302,null,SAINTE FEYRE,Parking public,Place de la Mairie,23193,"[46.13929,1.915143]",2,FRS23231930202,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 273 661 316 682 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232319302,null,SAINTE FEYRE,Parking public,Place de la Mairie,23193,"[46.13929,1.915143]",2,FRS23231930201,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 273 661 316 682 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232319301,null,SAINTE FEYRE,Parking public,Parc animalier des Monts de Guéret,23193,"[46.127182,1.889585]",2,FRS23231930102,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 274 529 623 407 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232319301,null,SAINTE FEYRE,Parking public,Parc animalier des Monts de Guéret,23193,"[46.127182,1.889585]",2,FRS23231930101,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 274 529 623 407 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232324501,null,SAINT SULPICE LE GUERETOIS,Parking public,Aire des Monts de Guéret,23245,"[46.182498,1.8471600]",2,FRS23232450102,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 274 384 905 649 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232324501,null,SAINT SULPICE LE GUERETOIS,Parking public,Aire des Monts de Guéret,23245,"[46.182498,1.8471600]",2,FRS23232450101,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 274 384 905 649 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
BOURGANEUF,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232303001,null,BOURGANEUF,Parking public,Place du Champ de Foire,23030,"[45.954984,1.757261]",2,FRS23230300101,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 289 435 556 806 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232309603,null,GUERET,Parking public,Place Bonnyaud,23096,"[46.168328,1.872105]",2,FRS23230960302,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 272 793 009 836 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232309603,null,GUERET,Parking public,Place Bonnyaud,23096,"[46.168328,1.872105]",2,FRS23230960301,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 272 793 009 836 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232309602,null,GUERET,Parking public,Espace André Lejeune,23096,"[46.180660,1.874580]",2,FRS23230960202,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 272 648 292 092 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232309602,null,GUERET,Parking public,Espace André Lejeune,23096,"[46.180660,1.874580]",2,FRS23230960201,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 272 648 292 092 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
BOURGANEUF,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232303001,null,BOURGANEUF,Parking public,Place du Champ de Foire,23030,"[45.954984,1.757261]",2,FRS23230300102,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 289 435 556 806 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
CHAMBON SUR VOUEIZE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232304501,null,CHAMBON SUR VOUEIZE,Parking public,Médiathèque Avenue Clémenceau,23045,"[46.188104,2.427356]",2,FRS23230450101,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 264 399 377 391 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
SDEC,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232309601,null,GUERET,Parking privé réservé à la clientèle,11 Avenue Pierre Mendes France,23096,"[46.1613543,1.8728709]",2,FRS23230960102,null,22,True,True,False,False,False,True,True,False,True,Gratuit,Accès libre,False,Mo-Fr 08:00-18:00,Accessible mais non réservé PMR,Aucune,False,Indirect, 17 260 347 279 183 ,2018-01-08,Parking Privé du SDEC,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
SDEC,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232309601,null,GUERET,Parking privé réservé à la clientèle,11 Avenue Pierre Mendes France,23096,"[46.1613543,1.8728709]",2,FRS23230960101,null,22,True,True,False,False,False,True,True,False,True,Gratuit,Accès libre,False,Mo-Fr 08:00-18:00,Accessible mais non réservé PMR,Aucune,False,Indirect, 17 260 347 279 183 ,2018-01-08,Parking Privé du SDEC,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232324701,null,SAINT VAURY,Voirie,IMPASSE DE L ANCIENNE GENDARMERIE,23247,"[46.204309,1.7562378]",2,FRS23232470102,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 273 516 598 808 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
GRAND GUERET,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232309604,null,GUERET,Parking public,Plan d'Eau Courtille,23096,"[46.166190,1.852937]",2,FRS23230960401,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 272 358 856 468 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
CHAMBON SUR VOUEIZE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232304501,null,CHAMBON SUR VOUEIZE,Parking public,Médiathèque Avenue Clémenceau,23045,"[46.188104,2.427356]",2,FRS23230450102,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 264 399 377 391 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
BENEVENT L'ABBAYE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232302101,null,BENEVENT L'ABBAYE,Parking public,Place de Villers,23021,"[46.11916513058057,1.6307987051364758]",2,FRS23230210102,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 273 950 751 723 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
LA SOUTERRAINE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232317601,null,LA SOUTERRAINE,Parking public,Place Dr Emile Parrain,23176,"[46.238674,1.483527]",2,FRS23231760101,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 172 386 396 09 130 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
CONSEIL DEPARTEMENTAL DE LA CREUSE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232311401,null,LUSSAT,Parking public,Etang des Landes,23114,"[46.18043243312804,2.3282017747338646]",2,FRS23231140102,null,22,True,True,False,False,False,True,True,False,True,Gratuit,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 235 600 534 721 ,2018-01-08,Prix fixé par le CD23,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
CONSEIL DEPARTEMENTAL DE LA CREUSE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232311401,null,LUSSAT,Parking public,Etang des Landes,23114,"[46.18043243312804,2.3282017747338646]",2,FRS23231140101,null,22,True,True,False,False,False,True,True,False,True,Gratuit,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 235 600 534 721 ,2018-01-08,Prix fixé par le CD23,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
CONSEIL DEPARTEMENTAL DE LA CREUSE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232307001,null,CROZANT,Parking public,Parking entrée bourg Crozant,23070,"[46.38979827128929,1.621857810756655]",2,FRS23230700101,null,22,True,True,False,False,False,True,True,False,True,Gratuit,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 50 091 406 684 071 ,2018-01-08,Prix fixé par le CD23,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
CONSEIL DEPARTEMENTAL DE LA CREUSE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232300801,null,AUBUSSON,Parking public,Rue des fussilés - Parking champ de Foire,23008,"[45.95685385044865,2.1752391966838003]",2,FRS23230080102,null,22,True,True,False,False,False,True,True,False,True,Gratuit,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 50 092 998 604 167 ,2018-01-08,Prix fixé par le CD23,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
CONSEIL DEPARTEMENTAL DE LA CREUSE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232300801,null,AUBUSSON,Parking public,Rue des fussilés - Parking champ de Foire,23008,"[45.95685385044865,2.1752391966838003]",2,FRS23230080101,null,22,True,True,False,False,False,True,True,False,True,Gratuit,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 50 092 998 604 167 ,2018-01-08,Prix fixé par le CD23,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
BONNAT,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232302501,null,BONNAT,Voirie,Place du Foirail,23025,"[46.325814,1.908169]",2,FRS23230250102,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 262 083 892 402 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
BONNAT,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232302501,null,BONNAT,Voirie,Place du Foirail,23025,"[46.325814,1.908169]",2,FRS23230250101,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 262 083 892 402 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
CONSEIL DEPARTEMENTAL DE LA CREUSE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232307001,null,CROZANT,Parking public,Parking entrée bourg Crozant,23070,"[46.38979827128929,1.621857810756655]",2,FRS23230700102,null,22,True,True,False,False,False,True,True,False,True,Gratuit,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 50 091 406 684 071 ,2018-01-08,Prix fixé par le CD23,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
ROYERE DE VASSIVIERE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232316501,null,ROYERE DE VASSIVIERE,Parking public,Place Mendès France,23165,"[45.839515,1.911452]",2,FRS23231650102,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 262 807 481 385 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
ROYERE DE VASSIVIERE,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232316501,null,ROYERE DE VASSIVIERE,Parking public,Place Mendès France,23165,"[45.839515,1.911452]",2,FRS23231650101,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Direct, 17 262 807 481 385 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
DUN LE PALESTEL,252309646,t.prouin@sde23.fr,NewMotion,serviceclients@newmotion.com,977554349,Réseau de recharge Creuse,FRS232307501,null,DUN LE PALESTEL,Voirie,Place du Champ de Foire,23075,"[46.3057547,1.67012069]",2,FRS23230750102,null,22,True,True,False,False,False,False,True,True,True,3 euros,Accès libre,False,Mo-Su 00:00-00:00,Accessible mais non réservé PMR,Aucune,False,Indirect, 50 036 848 090 304 ,2018-01-08,Prix à la connexion,2021-06-21,2021-06-21T15:51:35.510000,e79c87a5-2658-4fbd-93bf-7100036a24dc
